Unnamed: 0,Movie,Genre,Rating,Emotions
0,Bahubali: The Beginning,"Action, Drama            ",8.1,"Feel-good, Tragic"
1,Baahubali 2: The Conclusion,"Action, Drama            ",8.2,"Happy, Mind-blowing, Family, Comedy"
2,1 - Nenokkadine,"Action, Thriller            ",8.1,"Fantasy, Comedy, Love"
3,Dhoom:3,"Action, Thriller            ",5.4,"Fear, Tragic"
4,Ra.One,"Action, Adventure, Sci-Fi            ",4.6,"Patriotic, Chill"
5,Dhoom:2,"Action, Thriller            ",6.5,"Friendship, Fantasy, Inspirational, Patriotic, Romantic"
6,Eega,"Action, Fantasy            ",7.7,"Mystery, Sad, Happy, Dark, Romantic"
7,Krrish 3,"Action, Sci-Fi            ",5.2,"Thrilling, Fantasy, Feel-good, Emotional, Hopeful"
8,Arjun Reddy,"Action, Drama, Romance            ",8.1,"Chill, Serious, Comedy, Friendship"
9,Rangasthalam,"Action, Drama            ",8.4,"Happy, Fantasy, Dark"
10,Magadheera,"Action, Drama, Fantasy            ",7.6,"Suspenseful, Hopeful, Fear"
11,War,"Action, Thriller            ",6.5,"Hopeful, Anger"
12,Bharat Ane Nenu,"Action, Drama            ",7.7,"Dark, Adventure, Patriotic"
13,Saaho,"Action, Thriller            ",5.2,"Mystery, Action, Excited, Mind-blowing"
14,Theri,"Action, Drama            ",7.1,"Serious, Suspenseful"
15,Dookudu,"Action, Comedy            ",7.4,"Sad, Heartwarming, Emotional, Tragic"
16,Pokiri,"Action, Thriller            ",7.9,"Motivational, Family"
17,Sarkar,"Action, Drama            ",6.8,"Inspirational, Dark, Happy"
18,Athadu,"Action, Thriller            ",8.2,"Adventure, Sad, Fantasy, Serious, Fear"
19,The Ghazi Attack,"Action, Thriller, War            ",7.6,"Patriotic, Mind-blowing, Excited, Inspirational, Serious"
20,Kabali,"Action, Crime, Drama            ",6.2,"Serious, Fantasy, Revenge, Comedy"
21,MSG: The Messenger of God,"Action, Comedy, Drama            ",5.9,"Inspirational, Heartwarming, Patriotic, Happy"
22,Nanban,"Comedy, Drama            ",7.4,"Thrilling, Family, Dark, Chill"
23,Srimanthudu,"Action, Drama            ",7.5,"Chill, Drama"
24,Veer - Vivegam,"Action, Thriller            ",5.6,"Action, Happy, Motivational, Heartwarming, Inspirational"
25,Billa 2,"Action, Thriller            ",6.2,"Comedy, Anger"
26,Manam,"Comedy, Drama, Fantasy            ",8,"Suspenseful, Chill, Tragic, Mind-blowing"
27,7 Aum Arivu,"Action, Sci-Fi, Thriller            ",6.2,"Action, Romantic, Sad, Friendship, Hopeful"
28,Bigil,"Action, Drama, Sport            ",6.8,"Tragic, Anger, Drama, Revenge"
29,Business Man,"Action, Crime            ",7.1,"Fear, Anger"
30,Geetha Govindam,"Drama, Romance            ",7.7,"Friendship, Chill, Adventure, Romantic, Hopeful"
31,Mahanati,"Biography, Drama            ",8.5,"Anger, Serious, Feel-good, Dark, Love"
32,Spyder,"Action, Thriller            ",6.6,"Thrilling, Heartwarming, Revenge"
33,Nannaku Prematho,"Action, Drama, Thriller            ",7.6,"Mind-blowing, Friendship, Revenge, Drama, Romantic"
34,Dabangg 3,"Action, Comedy            ",3.3,"Revenge, Patriotic"
35,MSG 2 the Messenger,"Comedy, Drama, Fantasy            ",6.7,"Hopeful, Family, Revenge"
36,Manikarnika: The Queen of Jhansi,"Action, Biography, Drama            ",6.4,"Emotional, Fear, Excited"
37,Race Gurram,"Action, Comedy            ",7.2,"Motivational, Dark, Fantasy"
38,Okkadu,"Action, Romance, Sport            ",8,"Tragic, Mind-blowing, Motivational, Inspirational, Excited"
39,Bommarillu,"Comedy, Drama, Romance            ",8.2,"Sad, Heartwarming, Action, Chill, Hopeful"
40,Atharintiki Daaredi,"Comedy, Drama            ",7.2,"Fantasy, Love, Mystery, Feel-good, Romantic"
41,Khaleja,"Action, Comedy, Fantasy            ",7.5,"Comedy, Happy, Drama, Suspenseful"
42,Yennai Arindhaal,"Action, Thriller            ",7.3,"Hopeful, Drama"
43,Thalaivaa,"Action, Drama, Thriller            ",6.1,"Mind-blowing, Friendship, Dark, Comedy"
44,Kaala,"Action, Drama            ",6.7,"Adventure, Motivational, Dark, Action"
45,Bairavaa,"Action, Thriller            ",5.9,"Anger, Dark, Sad"
46,Goodachari,"Action, Thriller            ",7.8,"Heartwarming, Happy, Fear"
47,Puli,"Action, Adventure, Fantasy            ",4.4,"Adventure, Mind-blowing, Revenge"
48,Pulimurugan,Action,6.8,"Family, Adventure, Hopeful, Drama, Inspirational"
49,Veeram,Action,6.5,"Romantic, Anger, Inspirational, Serious"
50,Vedam,"Action, Drama            ",8.1,"Adventure, Patriotic"
51,Yevadu,"Action, Thriller            ",5.6,"Motivational, Tragic, Comedy, Inspirational, Love"
52,Aravindha Sametha Veera Raghava,"Action, Drama            ",7.7,"Dark, Mind-blowing, Fantasy"
53,Billa,"Action, Thriller            ",7.2,"Comedy, Excited, Fantasy, Romantic, Friendship"
54,Jersey,"Drama, Sport            ",8.6,"Tragic, Dark, Heartwarming"
55,Sye Raa Narasimha Reddy,"Action, Adventure, Drama            ",7.5,"Inspirational, Revenge"
56,Ala Vaikunthapurramuloo,"Action, Drama            ",7.2,"Mystery, Patriotic, Thrilling, Serious"
57,Janatha Garage,"Action, Drama            ",7.3,"Drama, Inspirational, Excited"
58,Gabbar Singh,"Action, Comedy            ",7.1,"Motivational, Friendship, Family"
59,Temper,"Action, Drama            ",7.4,"Serious, Mind-blowing, Heartwarming, Suspenseful, Motivational"
60,Game Over,"Drama, Thriller            ",7.1,"Motivational, Excited, Inspirational, Revenge, Emotional"
61,Singam 2,"Action, Thriller            ",6.3,"Suspenseful, Tragic, Mind-blowing, Inspirational"
62,Dhruva,"Action, Thriller            ",7.9,"Sad, Hopeful"
63,Jalsa,"Action, Comedy            ",7.3,"Emotional, Revenge, Motivational"
64,Maharshi,"Action, Drama            ",7.3,"Love, Heartwarming, Action"
65,Pelli Choopulu,"Comedy, Drama, Romance            ",8.2,"Tragic, Patriotic, Chill, Comedy"
66,Arya 2,"Action, Comedy            ",7.4,"Love, Mind-blowing, Chill, Comedy, Inspirational"
67,Chekka Chivantha Vaanam,"Action, Crime, Drama            ",7.3,"Chill, Heartwarming, Mind-blowing, Action, Happy"
68,Naa Peru Surya Na Illu India,"Action, Drama            ",6.8,"Comedy, Thrilling, Action, Emotional, Fantasy"
69,Ki & Ka,"Comedy, Romance            ",5.8,"Fantasy, Love, Patriotic, Heartwarming"
70,Seethamma Vakitlo Sirimalle Chettu,"Comedy, Drama, Family            ",7.5,"Mystery, Drama"
71,Singam 3,"Action, Thriller            ",6.3,"Romantic, Adventure, Thrilling"
72,Agent Sai Srinivasa Athreya,"Action, Comedy, Crime            ",8.5,"Patriotic, Suspenseful, Drama"
73,Jai Lava Kusa,"Action, Drama            ",7,"Family, Action"
74,Arya,"Action, Drama, Romance            ",7.8,"Thrilling, Drama, Hopeful, Tragic"
75,Maattrraan,"Action, Sci-Fi, Thriller            ",5.9,"Heartwarming, Feel-good, Love"
76,Kochadaiiyaan,"Animation, Action            ",6.3,"Dark, Motivational, Thrilling, Mystery"
77,Thaanaa Serndha Koottam,"Action, Comedy, Crime            ",6.8,"Feel-good, Suspenseful, Mystery"
78,OK Kanmani,Romance,7.4,"Fantasy, Anger, Dark"
79,Dear Comrade,"Action, Drama, Romance            ",7.3,"Inspirational, Mystery, Serious"
80,Happy Days,Drama,7.9,"Love, Motivational"
81,Sarileru Neekevvaru,"Action, Comedy, Drama            ",6.1,"Hopeful, Motivational"
82,Julayi,"Action, Comedy            ",7.2,"Fear, Emotional"
83,Kshanam,Thriller,8.3,"Patriotic, Revenge, Inspirational"
84,Oopiri,"Comedy, Drama            ",8,"Thrilling, Comedy, Chill"
